"Part";"Value";"Device";"Package";"Description";"";
"R4";"2K";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R5";"10K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R6";"100m";"R-US_CHIP-2512(6332-METRIC)";"RESC6332X71";"Resistor Fixed - ANSI";"";
"R7";"1K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R8";"1K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R9";"1K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R10";"1K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R11";"500";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R12";"1K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R13";"100";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R14";"330";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R15";"1K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R16";"1K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R17";"100K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R18";"1K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R19";"100K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R20";"100";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R21";"10K";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R22";"1K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R23";"1K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R24";"1K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R25";"10K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R26";"6.1K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R27";"1K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"RS1";"14AFR010E";"14AFR010E";"RESAD2182W66L1845D630B";"High Power Shunt Resistor";"";
"RST-SW";"B3F-1000";"B3F-1000";"B3F-10-SERIES";"";"";
"U1";"LM22673SOIC-8";"LM22673SOIC-8";"SOIC127P600X170-9T271X340N";"42V 3A Switching Voltage Regutator";"";
"U2";"LM358TSSOP";"LM358TSSOP";"TSSOP-8_-_SOP65P640X120-8N";".ds {";"";
"U3";"ATMEGA328PNORM";"ATMEGA328PNORM";"QFP-32-GP_-_QFP80P900X900X120-33T500N";"Stand Alone - Arduino Nano";"";
"U4";"INA181A-X";"INA181A-X";"SOT-23-6PIN";"Single Current Shunt Amplifier";"";
"U5";"INA181A-X";"INA181A-X";"SOT-23-6PIN";"Single Current Shunt Amplifier";"";
"U6";"LM358TSSOP";"LM358TSSOP";"TSSOP-8_-_SOP65P640X120-8N";".ds {";"";
"U7";"LM393";"LM393";"SOIC-8_-_SOIC127P600X175-8N";"";"";
"VR1";"LM317-1.5A-LIN-REG";"LM317-1.5A-LIN-REG";"SOT230P700X170-4N";"Linear Voltage Regulator";"";
"VR2";"TL1431TO-92";"TL1431TO-92";"TO-92";"Precision Adjustable Voltage Reference";"";
"VR3";"LM317";"LM317";"SOT230P700X170-4N";"Linear Voltage Regulator";"";
"X3";"5566-2";"5566-2";"5566-2";"Mini FIT connector 2 pol";"";
"XTAL1";"HC-49USX";"HC-49USX";"XTALRR488W43L1097T455H350B";"Quartz Oscillator";"";
