"Part";"Value";"Device";"Package";"Description";"";
"D1";"1N4448WS";"1N4448WS";"SOD2412X120N";"Small Signal Diode";"";
"D2";"1N4448WS";"1N4448WS";"SOD2412X120N";"Small Signal Diode";"";
"D3";"1N4448WS";"1N4448WS";"SOD2412X120N";"Small Signal Diode";"";
"D4";"1N4448WS";"1N4448WS";"SOD2412X120N";"Small Signal Diode";"";
"D5";"1N4448WS";"1N4448WS";"SOD2412X120N";"Small Signal Diode";"";
"D6";"GREEN";"CHIP-ROUND-G_0805";"LEDC2012X105N_RND-G";"";"";
"D7";"GREEN";"CHIP-ROUND-G_0805";"LEDC2012X105N_RND-G";"";"";
"D8";"WP4060VH/IGD";"WP4060VH/IGD";"WP4060VH";"";"";
"D9";"WP4060VH/IGD";"WP4060VH/IGD";"WP4060VH";"";"";
"D10";"WP4060VH/IGD";"WP4060VH/IGD";"WP4060VH";"";"";
"D11";"WP4060VH/IGD";"WP4060VH/IGD";"WP4060VH";"";"";
"D12";"WP4060VH/IGD";"WP4060VH/IGD";"WP4060VH";"";"";
"D13";"SS14-CHAN";"SS14-CHAN";"SS14-CHAN";"SMD Schottky";"";
"D15";"YELLOW";"CHIP-ROUND-Y_0805";"LEDC2012X105N_RND-Y";"";"";
"D16";"YELLOW";"CHIP-ROUND-Y_0805";"LEDC2012X105N_RND-Y";"";"";
"ICSP";"PINHD-1X6";"PINHD-1X6";"1X06";"PIN HEADER";"";
"J-FRONT-COM";"690367290476";"690367290476";"690367290476";"";"";
"J-FUNC-COM";"B4B-XH-A";"B4B-XH-A";"JST-XH-4";"";"";
"J-LOGA-USB";"1734366";"1734366";"1734366";"USB(2.0) Type-A, RCPT, 4POS, THT-VERT";"";
"J-PS-COM";"B4B-XH-A";"B4B-XH-A";"JST-XH-4";"";"";
"J-RELAY-COM";"B4B-XH-A";"B4B-XH-A";"JST-XH-4";"";"";
"J-USB-OUT";"USB-B1HSB6";"USB-B1HSB6";"USB-B1HSB6";"";"";
"J1";"640456-2";"640456-2";"640456-2";"";"";
"J2";"MOLEX-4";"MOLEX-4";"MOLEX-4";"";"";
"L1";"4.7uH";"L_CHIP-1206(3216-METRIC)";"INDC3216X190";"Inductor Fixed - Generic";"";
"MP1";"STANDOFF_F/F_M2.5_5MM";"STANDOFF_F/F_M2.5_5MM";"STANDOFF_HEX_FEMALE_500X500_M2.5X0.45_MTGP755H270";"Female-Female Standoff/Spacer with Mounting pad and hole.";"";
"MP2";"STANDOFF_F/F_M2.5_5MM";"STANDOFF_F/F_M2.5_5MM";"STANDOFF_HEX_FEMALE_500X500_M2.5X0.45_MTGP755H270";"Female-Female Standoff/Spacer with Mounting pad and hole.";"";
"MP3";"STANDOFF_F/F_M2.5_5MM";"STANDOFF_F/F_M2.5_5MM";"STANDOFF_HEX_FEMALE_500X500_M2.5X0.45_MTGP755H270";"Female-Female Standoff/Spacer with Mounting pad and hole.";"";
"MP4";"STANDOFF_F/F_M2.5_5MM";"STANDOFF_F/F_M2.5_5MM";"STANDOFF_HEX_FEMALE_500X500_M2.5X0.45_MTGP755H270";"Female-Female Standoff/Spacer with Mounting pad and hole.";"";
"P2";"50KΩ";"3296W";"3296W";"";"";
"Q1";"SQ2310ES";"SQ2310ES";"SOT-23-3_-_SOT95P280X100-3N";"N-Ch MOSFET";"";
"Q2";"CPH3348-TL-W";"CPH3348-TL-W";"SOT-23-3_-_SOT95P280X100-3N";"-12V P-Ch MOSFET";"";
"Q3";"CPH3348-TL-W";"CPH3348-TL-W";"SOT-23-3_-_SOT95P280X100-3N";"-12V P-Ch MOSFET";"";
"Q4";"BC807";"BC807";"SOT-23-3_-_SOT95P280X100-3N";"PNP 45V Transistor";"";
"Q5";"BC807";"BC807";"SOT-23-3_-_SOT95P280X100-3N";"PNP 45V Transistor";"";
"Q6";"BC807";"BC807";"SOT-23-3_-_SOT95P280X100-3N";"PNP 45V Transistor";"";
"Q7";"BC807";"BC807";"SOT-23-3_-_SOT95P280X100-3N";"PNP 45V Transistor";"";
"Q8";"CPH3348-TL-W";"CPH3348-TL-W";"SOT-23-3_-_SOT95P280X100-3N";"-12V P-Ch MOSFET";"";
"Q9";"BC807";"BC807";"SOT-23-3_-_SOT95P280X100-3N";"PNP 45V Transistor";"";
"Q10";"BC807";"BC807";"SOT-23-3_-_SOT95P280X100-3N";"PNP 45V Transistor";"";
"Q11";"CPH3348-TL-W";"CPH3348-TL-W";"SOT-23-3_-_SOT95P280X100-3N";"-12V P-Ch MOSFET";"";
"Q12";"BC807";"BC807";"SOT-23-3_-_SOT95P280X100-3N";"PNP 45V Transistor";"";
"Q13";"BC807";"BC807";"SOT-23-3_-_SOT95P280X100-3N";"PNP 45V Transistor";"";
"Q14";"CPH3348-TL-W";"CPH3348-TL-W";"SOT-23-3_-_SOT95P280X100-3N";"-12V P-Ch MOSFET";"";
"Q15";"BC807";"BC807";"SOT-23-3_-_SOT95P280X100-3N";"PNP 45V Transistor";"";
"Q16";"BC807";"BC807";"SOT-23-3_-_SOT95P280X100-3N";"PNP 45V Transistor";"";
"Q17";"DMG2301L";"DMG2301L";"SOT-23-3_-_SOT95P280X100-3N";"";"";
"Q18";"DMG2301L";"DMG2301L";"SOT-23-3_-_SOT95P280X100-3N";"";"";
"Q19";"DMG2301L";"DMG2301L";"SOT-23-3_-_SOT95P280X100-3N";"";"";
"Q20";"DMG2301L";"DMG2301L";"SOT-23-3_-_SOT95P280X100-3N";"";"";
"Q21";"DMG2301L";"DMG2301L";"SOT-23-3_-_SOT95P280X100-3N";"";"";
"R1";"100Ω";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R2";"10KΩ";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R3";"100KΩ";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R4";"100KΩ";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R5";"100KΩ";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R6";"100KΩ";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R7";"100KΩ";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R8";"100KΩ";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R9";"100KΩ";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R10";"100KΩ";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R11";"10KΩ";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R12";"100KΩ";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R13";"100KΩ";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R14";"150mΩ";"R-US_CHIP-2010(5025-METRIC)";"RESC5025X71";"Resistor Fixed - ANSI";"";
"R15";"150mΩ";"R-US_CHIP-2010(5025-METRIC)";"RESC5025X71";"Resistor Fixed - ANSI";"";
"R16";"150mΩ";"R-US_CHIP-2010(5025-METRIC)";"RESC5025X71";"Resistor Fixed - ANSI";"";
"R17";"150mΩ";"R-US_CHIP-2010(5025-METRIC)";"RESC5025X71";"Resistor Fixed - ANSI";"";
"R18";"150mΩ";"R-US_CHIP-2010(5025-METRIC)";"RESC5025X71";"Resistor Fixed - ANSI";"";
"R19";"27Ω";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R20";"27Ω";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R21";"27Ω";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R22";"27Ω";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R23";"27Ω";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R24";"27Ω";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R25";"1MΩ";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R26";"10KΩ";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R27";"100KΩ";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R28";"100Ω";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R29";"100Ω";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R30";"100Ω";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R31";"100Ω";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R32";"100Ω";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R33";"10KΩ";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R34";"10KΩ";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R35";"10KΩ";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R36";"10KΩ";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R37";"10KΩ";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R38";"27Ω";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R39";"27Ω";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R40";"27Ω";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R41";"27Ω";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R42";"27Ω";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R43";"27Ω";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R44";"27Ω";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R45";"27Ω";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R46";"27Ω";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R47";"27Ω";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R48";"15KΩ";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R49";"15KΩ";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R50";"15KΩ";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R51";"15KΩ";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R52";"15KΩ";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R53";"15KΩ";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R54";"15KΩ";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R55";"15KΩ";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R56";"15KΩ";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R57";"15KΩ";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R58";"15KΩ";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R59";"15KΩ";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R60";"15KΩ";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R61";"15KΩ";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R62";"15KΩ";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R63";"15KΩ";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R64";"4.7KΩ";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R65";"4.7KΩ";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R66";"12KΩ";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R67";"330Ω";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R68";"330Ω";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R69";"330Ω";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R70";"330Ω";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R71";"330Ω";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R72";"330Ω";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R73";"330Ω";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R74";"330Ω";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R75";"330Ω";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R76";"330Ω";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R77";"10KΩ";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R78";"10KΩ";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R79";"100KΩ";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R80";"330Ω";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R81";"330Ω";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R82";"1KΩ";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R83";"3.3KΩ";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R84";"1KΩ";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R85";"1KΩ";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R86";"1KΩ";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R87";"1KΩ";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R88";"1KΩ";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R89";"1KΩ";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R90";"330Ω";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R91";"330Ω";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R92";"330Ω";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R93";"100KΩ";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R94";"1.5KΩ";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R95";"1.5KΩ";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R96";"1.5KΩ";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R97";"1.5KΩ";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R98";"1.5KΩ";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R99";"50KΩ";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R100";"50KΩ";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"RESET";"TL3365";"TL3365";"TL3365";"";"";
